# file...... house1_data.csv
# date...... Tue Oct 24 14:47:55 2017
# user...... nomad
# host...... (null)
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,house1:air_temperature, house1:outdoor_temperature, house1:is_COOL_on, house1:cooling_setpoint, house1_meter:measured_real_power, house1_meter:measured_real_energy
2017-10-24 00:29:00 EDT,+66.7833,+57.487,+0,+65,+11093.3,+3596.75
2017-10-24 00:30:00 EDT,+68.5207,+57.472,+0,+65,+4445,+3765.02
2017-10-24 00:31:00 EDT,+68.2321,+57.457,+0,+65,+4445,+3839.11
2017-10-24 00:32:00 EDT,+67.7925,+57.442,+1,+65,+7382.79,+3920.53
2017-10-24 00:33:00 EDT,+66.3012,+57.427,+1,+65,+7382.26,+4043.58
2017-10-24 00:34:00 EDT,+65.1049,+57.412,+1,+65,+7381.73,+4166.62
2017-10-24 00:35:00 EDT,+64.136,+57.397,+1,+65,+7381.2,+4289.65
2017-10-24 00:36:00 EDT,+63.3428,+57.382,+1,+65,+7380.68,+4412.67
2017-10-24 00:37:00 EDT,+62.6851,+57.367,+1,+65,+7380.15,+4535.68
2017-10-24 00:38:00 EDT,+62.1322,+57.352,+1,+65,+7379.62,+4658.68
2017-10-24 00:39:00 EDT,+62.7005,+57.337,+0,+65,+4445,+4745.81
2017-10-24 00:40:00 EDT,+63.4739,+57.322,+0,+65,+4445,+4819.89
2017-10-24 00:41:00 EDT,+65.617,+57.307,+0,+65,+11081.6,+4975.1
2017-10-24 00:42:00 EDT,+67.8401,+57.292,+0,+65,+11080.7,+5159.79
2017-10-24 00:43:00 EDT,+68.1109,+57.277,+0,+65,+4445,+5263.37
2017-10-24 00:44:00 EDT,+67.8498,+57.262,+0,+65,+4445,+5337.45
2017-10-24 00:45:00 EDT,+67.6579,+57.247,+0,+65,+4445,+5411.54
2017-10-24 00:46:00 EDT,+67.5193,+57.232,+0,+65,+4445,+5485.62
2017-10-24 00:47:00 EDT,+67.4216,+57.217,+0,+65,+4445,+5559.7
2017-10-24 00:48:00 EDT,+67.3554,+57.202,+0,+65,+4445,+5633.79
2017-10-24 00:49:00 EDT,+67.3135,+57.187,+0,+65,+4445,+5707.87
2017-10-24 00:50:00 EDT,+67.2902,+57.172,+0,+65,+4445,+5781.95
2017-10-24 00:51:00 EDT,+67.2812,+57.157,+0,+65,+4445,+5856.04
2017-10-24 00:52:00 EDT,+67.2831,+57.142,+0,+65,+4445,+5930.12
2017-10-24 00:53:00 EDT,+67.2933,+57.127,+0,+65,+4445,+6004.2
2017-10-24 00:54:00 EDT,+67.31,+57.112,+0,+65,+4445,+6078.29
2017-10-24 00:55:00 EDT,+67.3315,+57.097,+0,+65,+4445,+6152.37
2017-10-24 00:56:00 EDT,+67.3568,+57.082,+0,+65,+4445,+6226.45
2017-10-24 00:57:00 EDT,+67.3848,+57.067,+0,+65,+4445,+6300.54
2017-10-24 00:58:00 EDT,+67.4148,+57.052,+0,+65,+4445,+6374.62
2017-10-24 00:59:00 EDT,+67.4464,+57.037,+0,+65,+4445,+6448.7
2017-10-24 01:00:00 EDT,+67.4792,+57.022,+0,+65,+4445,+6522.79
2017-10-24 01:01:00 EDT,+67.5127,+56.956,+0,+65,+4445,+6596.87
2017-10-24 01:02:00 EDT,+67.5455,+56.89,+0,+65,+4445,+6670.95
2017-10-24 01:03:00 EDT,+67.5776,+56.824,+0,+65,+4445,+6745.04
2017-10-24 01:04:00 EDT,+67.609,+56.758,+0,+65,+4445,+6819.12
2017-10-24 01:05:00 EDT,+67.6399,+56.692,+0,+65,+4445,+6893.2
2017-10-24 01:06:00 EDT,+67.6701,+56.626,+0,+65,+4445,+6967.29
2017-10-24 01:07:00 EDT,+67.6997,+56.56,+0,+65,+4445,+7041.37
2017-10-24 01:08:00 EDT,+67.7288,+56.494,+0,+65,+4445,+7115.45
2017-10-24 01:09:00 EDT,+67.7574,+56.428,+0,+65,+4445,+7189.54
2017-10-24 01:10:00 EDT,+67.7855,+56.362,+0,+65,+4445,+7263.62
2017-10-24 01:11:00 EDT,+67.813,+56.296,+0,+65,+4445,+7337.7
2017-10-24 01:12:00 EDT,+67.8401,+56.23,+0,+65,+4445,+7411.79
2017-10-24 01:13:00 EDT,+67.8666,+56.164,+0,+65,+4445,+7485.87
2017-10-24 01:14:00 EDT,+67.8927,+56.098,+0,+65,+4445,+7559.95
2017-10-24 01:15:00 EDT,+67.9182,+56.032,+0,+65,+4445,+7634.04
2017-10-24 01:16:00 EDT,+67.9433,+55.966,+0,+65,+4445,+7708.12
2017-10-24 01:17:00 EDT,+67.9679,+55.9,+0,+65,+4445,+7782.2
2017-10-24 01:18:00 EDT,+67.9921,+55.834,+0,+65,+4445,+7856.29
2017-10-24 01:19:00 EDT,+67.0799,+55.768,+1,+65,+7323.18,+7961.58
2017-10-24 01:20:00 EDT,+65.8925,+55.702,+1,+65,+7320.8,+8083.63
2017-10-24 01:21:00 EDT,+64.9256,+55.636,+1,+65,+7318.24,+8205.64
2017-10-24 01:22:00 EDT,+64.1289,+55.57,+1,+65,+7315.87,+8327.61
2017-10-24 01:23:00 EDT,+63.4637,+55.504,+1,+65,+7313.67,+8449.54
2017-10-24 01:24:00 EDT,+62.8997,+55.438,+1,+65,+7311.29,+8571.44
2017-10-24 01:25:00 EDT,+62.4141,+55.372,+1,+65,+7308.91,+8693.29
2017-10-24 01:26:00 EDT,+62.0147,+55.306,+0,+65,+4445,+8814.31
2017-10-24 01:27:00 EDT,+63.0225,+55.24,+0,+65,+4445,+8888.4
2017-10-24 01:28:00 EDT,+63.8421,+55.174,+0,+65,+10946.1,+8964.29
2017-10-24 01:29:00 EDT,+66.4073,+55.108,+0,+65,+10942,+9146.72
2017-10-24 01:30:00 EDT,+68.4317,+55.042,+0,+65,+4445,+9327.28
2017-10-24 01:31:00 EDT,+68.1521,+54.976,+0,+65,+4445,+9401.37
2017-10-24 01:32:00 EDT,+67.9416,+54.91,+0,+65,+4445,+9475.45
2017-10-24 01:33:00 EDT,+67.7843,+54.844,+0,+65,+4445,+9549.53
2017-10-24 01:34:00 EDT,+67.668,+54.778,+0,+65,+4445,+9623.62
2017-10-24 01:35:00 EDT,+67.583,+54.712,+0,+65,+4445,+9697.7
2017-10-24 01:36:00 EDT,+67.5222,+54.646,+0,+65,+4445,+9771.78
2017-10-24 01:37:00 EDT,+67.4799,+54.58,+0,+65,+4445,+9845.87
2017-10-24 01:38:00 EDT,+67.4517,+54.514,+0,+65,+4445,+9919.95
2017-10-24 01:39:00 EDT,+67.4343,+54.448,+0,+65,+4445,+9994.03
2017-10-24 01:40:00 EDT,+67.4251,+54.382,+0,+65,+4445,+10068.1
2017-10-24 01:41:00 EDT,+67.4222,+54.316,+0,+65,+4445,+10142.2
